date_utc,trump_end__may_31,trump_end__june_30,peace_deal__may_31,peace_deal__june_30,regime,P_may31_synth,P_jun30_synth,P_by_jun1_est
2026-03-07 00:00:00+00:00,,0.695,,,,,0.695,
2026-03-08 00:00:00+00:00,,0.75,,,,,0.75,
2026-03-09 00:00:00+00:00,,0.76,,,,,0.76,
2026-03-10 00:00:00+00:00,,0.83,,,,,0.83,
2026-03-11 00:00:00+00:00,,0.83,,,,,0.83,
2026-03-12 00:00:00+00:00,,0.845,,,,,0.845,
2026-03-13 00:00:00+00:00,,0.845,,,,,0.845,
2026-03-14 00:00:00+00:00,,0.655,,,,,0.655,
2026-03-15 00:00:00+00:00,,0.655,,,,,0.655,
2026-03-16 00:00:00+00:00,,0.655,,,,,0.655,
2026-03-17 00:00:00+00:00,,0.725,,,,,0.725,
2026-03-18 00:00:00+00:00,,0.725,,,,,0.725,
2026-03-19 00:00:00+00:00,,0.725,,,,,0.725,
2026-03-20 00:00:00+00:00,,0.705,,,,,0.705,
2026-03-21 00:00:00+00:00,,0.76,,,,,0.76,
2026-03-22 00:00:00+00:00,,0.72,,,,,0.72,
2026-03-23 00:00:00+00:00,,0.73,,,,,0.73,
2026-03-24 00:00:00+00:00,,0.765,,,,,0.765,
2026-03-25 00:00:00+00:00,,0.775,,,,,0.775,
2026-03-26 00:00:00+00:00,,0.755,,,,,0.755,
2026-03-27 00:00:00+00:00,,0.775,,,,,0.775,
2026-03-28 00:00:00+00:00,,0.775,,,,,0.775,
2026-03-29 00:00:00+00:00,,0.775,,,,,0.775,
2026-03-30 00:00:00+00:00,,0.775,,,,,0.775,
2026-03-31 00:00:00+00:00,,0.775,,,,,0.775,
2026-04-01 00:00:00+00:00,,,,,,,,
2026-04-02 00:00:00+00:00,,,,,,,,
2026-04-03 00:00:00+00:00,,,,,,,,
2026-04-04 00:00:00+00:00,,,,,,,,
2026-04-05 00:00:00+00:00,,0.685,,,0.065,,0.685,
2026-04-06 00:00:00+00:00,,0.685,,,0.065,,0.685,
2026-04-07 00:00:00+00:00,,0.685,,,0.065,,0.685,
2026-04-08 00:00:00+00:00,,0.685,,,0.065,,0.685,
2026-04-09 00:00:00+00:00,0.655,0.785,0.365,,0.055,0.51,0.785,0.51
2026-04-10 00:00:00+00:00,0.655,0.785,0.365,,0.055,0.51,0.785,0.51
2026-04-11 00:00:00+00:00,0.655,0.785,0.365,,0.055,0.51,0.785,0.51
2026-04-12 00:00:00+00:00,0.655,0.845,0.365,,0.05,0.51,0.845,0.51
2026-04-13 00:00:00+00:00,0.655,0.845,0.365,,0.05,0.51,0.845,0.51
2026-04-14 00:00:00+00:00,,0.845,,,0.05,,0.845,
2026-04-15 00:00:00+00:00,,0.845,,,0.05,,0.845,
2026-04-16 00:00:00+00:00,,0.845,,,0.05,,0.845,
2026-04-17 00:00:00+00:00,,,,,,,,
2026-04-18 00:00:00+00:00,,,,,,,,
2026-04-19 00:00:00+00:00,,,,,,,,
2026-04-20 00:00:00+00:00,,,,,,,,
2026-04-21 00:00:00+00:00,,,,,,,,
2026-04-22 00:00:00+00:00,0.605,0.745,0.515,0.64,0.045,0.56,0.6925,0.56
2026-04-23 00:00:00+00:00,0.54,0.715,0.425,0.595,0.0345,0.48250000000000004,0.655,0.48250000000000004
2026-04-24 00:00:00+00:00,0.415,0.63,0.305,0.475,0.0465,0.36,0.5525,0.36
2026-04-25 00:00:00+00:00,0.385,0.655,0.355,0.535,0.0345,0.37,0.595,0.37
2026-04-26 00:00:00+00:00,0.355,0.58,0.305,0.455,0.0425,0.32999999999999996,0.5175,0.32999999999999996
2026-04-27 00:00:00+00:00,0.345,0.585,0.295,0.495,0.0355,0.31999999999999995,0.54,0.31999999999999995
2026-04-28 00:00:00+00:00,0.35,0.585,0.275,0.415,0.034,0.3125,0.5,0.3125
2026-04-29 00:00:00+00:00,0.355,0.605,0.295,0.435,0.0365,0.32499999999999996,0.52,0.32499999999999996
2026-04-30 00:00:00+00:00,0.265,0.515,0.175,0.335,0.0345,0.22,0.42500000000000004,0.22
